batch_idx,horizon_idx,action_0,action_1
3,11,-0.5007246136665344,0.3681775629520416
3,12,-0.4992746412754059,0.3681775629520416
3,13,-0.4992746412754059,0.3681775629520416
3,14,-0.4992746412754059,0.3681775629520416
3,15,-0.4992746412754059,0.3681775629520416
4,0,-0.42625004053115845,0.039200056344270706
4,1,-0.428100049495697,0.04125005751848221
4,2,-0.4299500584602356,0.04330005496740341
4,3,-0.4318000376224518,0.045350056141614914
4,4,-0.43340003490448,0.046650055795907974
4,5,-0.43455004692077637,0.047400057315826416
4,6,-0.43570005893707275,0.04790005460381508
4,7,-0.4368000328540802,0.04790005460381508
4,8,-0.43790003657341003,0.04790005460381508
4,9,-0.43900004029273987,0.04790005460381508
4,10,-0.4401000440120697,0.04790005460381508
4,11,-0.44120004773139954,0.04790005460381508
4,12,-0.44230005145072937,0.04790005460381508
4,13,-0.4434000551700592,0.04790005460381508
4,14,-0.44450005888938904,0.04790005460381508
4,15,-0.44575005769729614,0.04790005460381508
5,0,-0.29545003175735474,0.2885500192642212
5,1,-0.3061000406742096,0.28120002150535583
5,2,-0.31835004687309265,0.2719000279903412
5,3,-0.3315500319004059,0.2622000277042389
5,4,-0.3447500467300415,0.2525000274181366
5,5,-0.35795003175735474,0.2428000271320343
5,6,-0.37115004658699036,0.233100026845932
5,7,-0.38475003838539124,0.2234000265598297
5,8,-0.3983500301837921,0.2151000201702118
5,9,-0.4119500517845154,0.20680001378059387
5,10,-0.42555004358291626,0.19850002229213715
5,11,-0.43915003538131714,0.19020001590251923
5,12,-0.4527500569820404,0.1819000244140625
5,13,-0.4663500487804413,0.17360001802444458
5,14,-0.47860005497932434,0.16530002653598785
5,15,-0.4902500510215759,0.15700002014636993
6,0,-0.6575999855995178,0.04544999822974205
6,1,-0.6556000113487244,0.04649999737739563
6,2,-0.6535999774932861,0.04754999652504921
6,3,-0.6521499752998352,0.04909999668598175
6,4,-0.6513000130653381,0.05079999566078186
6,5,-0.6506999731063843,0.05279999598860741
6,6,-0.6500999927520752,0.0543999969959259
6,7,-0.6500499844551086,0.0543999969959259
6,8,-0.6500499844551086,0.0543999969959259
6,9,-0.6500499844551086,0.0543999969959259
6,10,-0.6500499844551086,0.0543999969959259
6,11,-0.6500499844551086,0.055049996823072433
6,12,-0.6497499942779541,0.055799998342990875
6,13,-0.6493499875068665,0.055799998342990875
6,14,-0.6489499807357788,0.055799998342990875
6,15,-0.6485499739646912,0.055799998342990875
7,0,-0.2912500202655792,0.28519999980926514
7,1,-0.2944500148296356,0.2796500027179718
7,2,-0.297650009393692,0.2736999988555908
7,3,-0.3008500039577484,0.2667499780654907
7,4,-0.3040499985218048,0.25939998030662537
7,5,-0.3061000108718872,0.25204998254776
7,6,-0.30605000257492065,0.24434998631477356
7,7,-0.3059999942779541,0.2356499880552292
7,8,-0.30595001578330994,0.226749986410141
7,9,-0.3059000074863434,0.2178499847650528
7,10,-0.30584999918937683,0.2081499844789505
7,11,-0.30580002069473267,0.1978999823331833
7,12,-0.3057500123977661,0.18684998154640198
7,13,-0.30570000410079956,0.1751999855041504
7,14,-0.305649995803833,0.16314998269081116
7,15,-0.30560001730918884,0.15109997987747192
8,0,-0.8082500100135803,0.3232499957084656
8,1,-0.8145000338554382,0.3232499957084656
8,2,-0.8207499980926514,0.3232499957084656
8,3,-0.8270000219345093,0.3232499957084656
8,4,-0.8332499861717224,0.3217499852180481
8,5,-0.8384000062942505,0.3174999952316284
8,6,-0.8421000242233276,0.311599999666214
8,7,-0.8433499932289124,0.30535000562667847
8,8,-0.8405500054359436,0.3006500005722046
8,9,-0.8346500396728516,0.2971999943256378
8,10,-0.8284000158309937,0.2943999767303467
8,11,-0.8221499919891357,0.2936999797821045
8,12,-0.8159000277519226,0.2936999797821045
8,13,-0.8096500039100647,0.2936999797821045
8,14,-0.8033999800682068,0.2936999797821045
8,15,-0.7971500158309937,0.2936999797821045
9,0,-0.478799968957901,0.04995005577802658
9,1,-0.47974997758865356,0.04995005577802658
9,2,-0.4797999858856201,0.04995005577802658
9,3,-0.4797999858856201,0.04995005577802658
9,4,-0.4797999858856201,0.04995005577802658
9,5,-0.4797999858856201,0.0505000539124012
9,6,-0.4797999858856201,0.0517500564455986
9,7,-0.4797999858856201,0.05270005390048027
9,8,-0.4797999858856201,0.05270005390048027
9,9,-0.4797999858856201,0.05270005390048027
9,10,-0.4797999858856201,0.05270005390048027
9,11,-0.4797999858856201,0.05270005390048027
9,12,-0.4797999858856201,0.05270005390048027
9,13,-0.4797999858856201,0.05270005390048027
9,14,-0.4797999858856201,0.05270005390048027
